RS	station	elevation
1925.56	61.314	0.196
1982.02	0.0	1.316
1982.02	5.148	3.89
1982.02	8.148	3.89
1982.02	11.583	1.6
1982.02	13.683	1.6
1982.02	13.683	2.51
1982.02	13.983	2.51
1982.02	13.983	1.31
1982.02	13.983	-1.206
1982.02	43.982	-1.206
1982.02	43.982	1.31
1982.02	43.982	2.514
1982.02	44.283	2.514
1982.02	44.283	1.604
1982.02	46.382	1.604
1982.02	49.817	3.89
1982.02	52.817	3.89
1982.02	59.663	0.467
2028.97	0.0	1.251
2028.97	5.278	3.89
2028.97	8.278	3.89
2028.97	11.713	1.6
2028.97	13.813	1.6
2028.97	13.813	2.51
2028.97	14.113	2.51
2028.97	14.113	1.31
2028.97	14.113	-1.206
2028.97	44.112	-1.206
2028.97	44.112	1.31
2028.97	44.112	2.514
2028.97	44.413	2.514
2028.97	44.413	1.604
2028.97	46.512	1.604
2028.97	49.95	3.89
2028.97	52.95	3.89
2028.97	60.778	-0.024
2068.81	0.0	1.238
2068.81	5.304	3.89
2068.81	8.304	3.89
2068.81	11.769	1.58
2068.81	13.869	1.58
2068.81	13.869	2.49
2068.81	14.169	2.49
2068.81	14.169	1.29
2068.81	14.169	-1.226
2068.81	44.168	-1.226
2068.81	44.168	1.29
2068.81	44.168	2.494
2068.81	44.469	2.494
2068.81	44.469	1.584
2068.81	46.568	1.584
2068.81	50.034	3.89
2068.81	53.034	3.89
2068.81	59.033	0.891
2113.71	0.0	0.967
2113.71	5.846	3.89
2113.71	8.846	3.89
2113.71	12.311	1.58
2113.71	14.411	1.58
2113.71	14.411	2.49
2113.71	14.711	2.49
2113.71	14.711	1.29
2113.71	14.711	-1.226
2113.71	44.709	-1.226
2113.71	44.709	1.29
2113.71	44.709	2.494
2113.71	45.011	2.494
2113.71	45.011	1.584
2113.71	47.109	1.584
2113.71	50.578	3.89
2113.71	53.578	3.89
2113.71	60.593	0.383
2169.19	0.0	1.129
2169.19	5.521	3.89
2169.19	8.521	3.89
2169.19	12.016	1.56
2169.19	14.116	1.56
2169.19	14.116	2.47
2169.19	14.416	2.47
2169.19	14.416	1.27
2169.19	14.416	-1.246
2169.19	44.415	-1.246
2169.19	44.415	1.27
2169.19	44.415	2.474
2169.19	44.716	2.474
2169.19	44.716	1.564
2169.19	46.815	1.564
2169.19	50.312	3.89
2169.19	53.312	3.89
2169.19	57.833	1.63
2213.99	0.0	0.652
2213.99	6.475	3.89
2213.99	9.475	3.89
2213.99	12.97	1.56
2213.99	15.07	1.56
2213.99	15.07	2.47
2213.99	15.37	2.47
2213.99	15.37	1.27
2213.99	15.37	-1.246
2213.99	45.369	-1.246
2213.99	45.369	1.27
2213.99	45.369	2.474
2213.99	45.67	2.474
2213.99	45.67	1.564
2213.99	47.769	1.564
2213.99	51.268	3.89
2213.99	54.268	3.89
2213.99	61.642	0.203
2268.0	0.0	1.207
2268.0	5.369	3.89
2268.0	8.369	3.89
2268.0	11.894	1.54
2268.0	13.994	1.54
2268.0	13.994	2.45
2268.0	14.294	2.45
2268.0	14.294	1.25
2268.0	14.294	-1.266
2268.0	44.293	-1.266
2268.0	44.293	1.25
2268.0	44.293	2.454
2268.0	44.594	2.454
2268.0	44.594	1.544
2268.0	46.693	1.544
2268.0	50.222	3.89
2268.0	53.222	3.89
2268.0	59.07	0.966
2314.04	0.0	1.248
2314.04	5.284	3.89
2314.04	8.284	3.89
2314.04	11.809	1.54
2314.04	13.909	1.54
2314.04	13.909	2.45
2314.04	14.209	2.45
2314.04	14.209	1.25
2314.04	14.209	-1.266
2314.04	44.208	-1.266
2314.04	44.208	1.25
2314.04	44.208	2.454
2314.04	44.509	2.454
2314.04	44.509	1.544
2314.04	46.608	1.544
2314.04	50.136	3.89
2314.04	53.136	3.89
2314.04	60.049	0.434
